,seed,num_bags,duplicate_bags,total_weight,total_value,fitness,id,name
6,6,62,False,284.70000000000016,3958.0,1.8522167358695247,10,t3_p50_m1.csv
7,7,60,False,283.50000000000017,3815.0,1.6725975386226768,10,t3_p50_m1.csv
8,8,57,False,284.4000000000002,3572.0,1.6325784610780691,10,t3_p50_m1.csv
9,9,58,False,283.80000000000024,3649.0,1.644154789959975,10,t3_p50_m1.csv
10,10,61,False,284.8000000000002,3981.0,1.8566543223730976,10,t3_p50_m1.csv
11,11,61,False,283.3000000000001,3931.0,1.6925070138031653,10,t3_p50_m1.csv
12,12,55,False,284.50000000000017,3249.0,1.5755377249092888,10,t3_p50_m1.csv
13,13,61,False,283.10000000000014,3656.0,1.6429424307036251,10,t3_p50_m1.csv
14,14,63,False,284.9000000000002,3576.0,1.635043579096997,10,t3_p50_m1.csv
0,0,59,False,280.7000000000002,3430.0,1.594365017020163,11,t4_p50_m1.csv
1,1,58,False,284.2000000000002,3826.0,1.6770081921220972,11,t4_p50_m1.csv
2,2,57,False,284.7000000000003,3501.0,1.621015598698239,11,t4_p50_m1.csv
3,3,52,False,283.4000000000002,3138.0,1.551955261287548,11,t4_p50_m1.csv
4,4,60,False,284.0000000000003,3892.0,1.6880335166273903,11,t4_p50_m1.csv
5,5,57,False,284.10000000000014,3384.0,1.5981214229603866,11,t4_p50_m1.csv
6,6,59,False,284.60000000000025,3715.0,1.658688886395093,11,t4_p50_m1.csv
7,7,61,False,283.60000000000025,3693.0,1.6512710881681825,11,t4_p50_m1.csv
8,8,63,False,283.90000000000015,4013.0,1.8591822840683805,11,t4_p50_m1.csv
9,9,55,False,282.00000000000006,3537.0,1.6179385029738529,11,t4_p50_m1.csv
10,10,58,False,281.5000000000002,3440.0,1.598948864699062,11,t4_p50_m1.csv
11,11,58,False,284.60000000000014,3379.0,1.5989873938577794,11,t4_p50_m1.csv
12,12,61,False,283.1000000000001,3645.0,1.640987917555082,11,t4_p50_m1.csv
13,13,62,False,284.50000000000017,3756.0,1.6656230127557707,11,t4_p50_m1.csv
14,14,58,False,282.6000000000002,3694.0,1.6479399992518615,11,t4_p50_m1.csv
0,0,61,False,284.00000000000034,3963.0,1.850649010586168,12,t4_p50_m4.csv
1,1,59,False,283.70000000000016,4011.0,1.858125163655408,12,t4_p50_m4.csv
2,2,60,False,284.40000000000015,4001.0,1.858804473871246,12,t4_p50_m4.csv
3,3,61,False,284.60000000000025,3997.0,1.8587954962031956,12,t4_p50_m4.csv
4,4,60,False,283.90000000000026,3962.0,1.850120450379681,12,t4_p50_m4.csv
5,5,59,False,284.00000000000017,3901.0,1.6896326637489252,12,t4_p50_m4.csv
6,6,62,False,285.0,3890.0,1.691186922530206,12,t4_p50_m4.csv
7,7,64,False,284.60000000000014,4019.0,1.8627045225002807,12,t4_p50_m4.csv
8,8,59,False,284.9000000000002,3319.0,1.5893790446264924,12,t4_p50_m4.csv
9,9,54,False,283.60000000000014,3469.0,1.6114700931433066,12,t4_p50_m4.csv
10,10,61,False,284.80000000000024,3807.0,1.6757374780234175,12,t4_p50_m4.csv
11,11,59,False,283.50000000000017,3616.0,1.637238618935399,12,t4_p50_m4.csv
12,12,55,False,283.90000000000015,3564.0,1.6294026110051254,12,t4_p50_m4.csv
13,13,59,False,284.90000000000026,3403.0,1.604304417760821,12,t4_p50_m4.csv
14,14,60,False,284.40000000000015,3865.0,1.684639584034714,12,t4_p50_m4.csv
