p,t,m,seed,num_bags,duplicate_bags,total_weight,total_value,fitness
77,43,31,17,592,55,False,281.4000000000002,3230.0,1.5612845546702585
78,158,49,10,563,56,False,281.8000000000002,3404.0,1.5936049077918684
79,182,8,12,492,62,False,285.0,4126.0,1.8831201137171285
80,103,32,1,864,53,False,284.10000000000025,3098.0,1.547304081098269
81,35,3,3,269,61,False,279.60000000000014,3682.0,1.635281487300341
82,109,11,17,374,62,False,283.60000000000014,4043.0,1.8634601428945503
83,165,11,18,802,66,False,285.0,4078.0,1.874591329068941
84,116,16,12,649,59,False,283.8000000000002,3968.0,1.8508356712677223
85,127,20,8,588,61,False,283.20000000000016,3809.0,1.6704788089627058
86,123,43,16,202,57,False,283.1000000000001,3718.0,1.6539587775408675
87,200,39,16,576,56,False,282.2000000000002,3252.0,1.5680005985112042
88,102,2,4,774,63,False,282.90000000000003,4209.0,1.8904993827853216
89,117,32,16,16,61,False,283.7000000000002,3794.0,1.6695679497250597
90,77,26,2,468,57,False,277.40000000000015,3780.0,1.64497512437811
91,113,24,13,921,56,False,281.5000000000002,3362.0,1.585089589645757
92,29,5,14,165,60,False,283.40000000000015,3805.0,1.670469831294655
93,76,46,20,85,53,False,276.0000000000001,3283.0,1.5517543859649128
94,89,48,19,627,60,False,282.4000000000002,3521.0,1.6164990835297206
95,158,9,11,751,59,False,283.5000000000002,4017.0,1.8584895073504666
96,147,32,19,381,54,False,279.9000000000002,3323.0,1.5725459170313851
97,194,18,14,642,60,False,284.10000000000014,3732.0,1.6599551116597469
98,190,3,14,895,64,False,284.6,4210.0,1.8966419780795274
99,192,6,5,258,65,False,284.60000000000014,4261.0,1.9057038117682272
100,129,3,18,836,66,False,283.8,4263.0,1.9032521602513748
101,64,40,2,973,52,False,283.7000000000001,3019.0,1.5318636142595299
102,29,30,5,512,54,False,282.40000000000015,3213.0,1.5617727153705165
103,133,10,1,735,60,False,283.60000000000014,3926.0,1.692671230314593
104,90,35,20,169,60,False,283.50000000000017,3759.0,1.6626472898664577
105,126,15,7,942,55,False,284.0000000000003,3546.0,1.6265551939550378
